,genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
119,RPS17,1.0,0.9608695652173913,1.0407239819004526,2.2492876052856445,1.552650809288025,2.0069916248321533,4.922269487398805e-08,1.0,[8]
209,UQCRH,1.0,0.9695652173913043,1.031390134529148,2.661107301712036,2.0615713596343994,1.8212734460830688,3.551567325890663e-05,1.0,[8]
75,RPL37A,1.0,0.9652173913043478,1.0360360360360361,2.561671733856201,1.8243603706359863,2.0903079509735107,3.502746210599464e-11,1.0,[8]
158,RPL28,1.0,0.9956521739130435,1.0043668122270741,2.6891443729400635,2.1160171031951904,1.7738054990768433,1.9670506256114453e-06,1.0,[8]
483,PGAM1,1.0,0.9869565217391304,1.013215859030837,2.3917183876037598,1.9535783529281616,1.5498218536376953,0.022581422968202428,1.0,[8]
180,RPS24,1.0,0.991304347826087,1.0087719298245614,2.8856759071350098,2.3294098377227783,1.7441476583480835,9.313865631264528e-06,1.0,[8]
485,COX6A1,1.0,0.9956521739130435,1.0043668122270741,3.024838924407959,2.6013946533203125,1.5272126197814941,0.022769839821899434,1.0,[8]
175,RPS16,1.0,0.9826086956521739,1.0176991150442478,2.4038140773773193,1.8154124021530151,1.801107406616211,7.980687215029028e-06,1.0,[8]
173,UQCRQ,1.0,0.9956521739130435,1.0043668122270741,2.8454933166503906,2.2356083393096924,1.8402198553085327,7.210735824235101e-06,1.0,[8]
309,SERINC1,1.0,0.9869565217391304,1.013215859030837,2.3559536933898926,1.7547835111618042,1.8242521286010742,0.0011371808095587085,1.0,[8]
192,RPL9,1.0,0.9826086956521739,1.0176991150442478,2.6849780082702637,2.0959038734436035,1.802318811416626,1.626810190120193e-05,1.0,[8]
193,PRDX5,1.0,0.9652173913043478,1.0360360360360361,2.1690611839294434,1.547876238822937,1.861132025718689,1.639828786326003e-05,1.0,[8]
555,RPL29,1.0,0.9826086956521739,1.0176991150442478,2.263859987258911,1.8326036930084229,1.5391900539398193,0.041130846922414935,1.0,[8]
163,RPL26,1.0,0.991304347826087,1.0087719298245614,2.5824973583221436,1.9320189952850342,1.9164572954177856,3.3412494119187106e-06,1.0,[8]
161,SLC25A4,1.0,0.991304347826087,1.0087719298245614,2.8748157024383545,2.2087619304656982,1.9465405941009521,2.4923221786488192e-06,1.0,[8]
160,RPS8,1.0,0.9956521739130435,1.0043668122270741,2.7491888999938965,2.1320691108703613,1.8535816669464111,2.287534068954235e-06,1.0,[8]
159,ACTB,1.0,0.991304347826087,1.0087719298245614,2.847888708114624,2.161884307861328,1.9857652187347412,2.0250129540654145e-06,1.0,[8]
157,NDUFS5,1.0,0.9869565217391304,1.013215859030837,2.414461851119995,1.7938594818115234,1.8600481748580933,1.965699180815211e-06,1.0,[8]
124,MIF,1.0,0.9782608695652174,1.0222222222222221,2.539212703704834,1.8479695320129395,1.9961955547332764,8.390132425550905e-08,1.0,[8]
