genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_domain,neighbors
CCK,0.9521276595744681,0.6434782608695652,1.4796578493387005,1.6428577899932861,0.6625121831893921,2.665377140045166,1.3518694683968255e-09,1,[8]
GARNL3,0.9468085106382979,0.5869565217391305,1.6130811662726554,1.4208310842514038,0.5510165095329285,2.3864684104919434,1.9175304493284342e-09,1,[8]
SHISA6,0.8563829787234043,0.3173913043478261,2.6981929466627808,1.1268233060836792,0.2722606062889099,2.350346326828003,2.7597171841056513e-09,1,[8]
FABP7,0.8670212765957447,0.391304347826087,2.215721040189125,1.2214937210083008,0.3277626037597656,2.44423246383667,3.7070375764074765e-09,1,[8]
KCNG4,0.8537234042553191,0.34782608695652173,2.4544547872340425,1.161386251449585,0.2896040380001068,2.3911685943603516,4.323556010167031e-09,1,[8]
GRID2,0.9308510638297872,0.5043478260869565,1.8456529713866472,1.402182698249817,0.4823864698410034,2.508779287338257,6.400183416675572e-09,1,[8]
RPS19,1.0,0.9347826086956522,1.069767441860465,2.2848317623138428,1.5162101984024048,2.1567909717559814,6.404431866774571e-09,1,[8]
PPP1R17,0.9547872340425532,0.6826086956521739,1.3987328906355876,1.9408364295959473,0.8084408044815063,3.103081226348877,6.661982658041171e-09,1,[8]
ICMT,0.9707446808510638,0.7347826086956522,1.321131814176004,1.9399739503860474,0.8978205919265747,2.8353159427642822,7.781672939204233e-09,1,[8]
CACNA1G,0.9388297872340425,0.6130434782608696,1.5314244756299984,1.5886067152023315,0.6348497271537781,2.595442533493042,8.226338296417597e-09,1,[8]
FXYD1,0.9335106382978723,0.5826086956521739,1.6022943791679898,1.406212568283081,0.5647116303443909,2.3198461532592773,9.682132943145823e-09,1,[8]
RGS7BP,0.9388297872340425,0.7,1.3411854103343466,1.4909971952438354,0.6722841262817383,2.2675797939300537,1.0730644729559936e-08,1,[8]
CSDC2,0.9813829787234043,0.8304347826086956,1.1817700790910104,1.7371593713760376,0.9697875380516052,2.154097318649292,1.38825598539041e-08,1,[8]
RPS28,0.9946808510638298,0.8782608695652174,1.1325574046766378,1.8844518661499023,1.1673437356948853,2.0485007762908936,1.9549781113979032e-08,1,[8]
SELENOF,0.976063829787234,0.7956521739130434,1.2267468898965237,1.7317394018173218,0.9647170901298523,2.1533448696136475,4.922269487398805e-08,1,[8]
SYNDIG1,0.8776595744680851,0.4434782608695652,1.9790362953692116,1.187455415725708,0.3792758285999298,2.2438197135925293,5.7771873528493104e-08,1,[8]
AHCYL1,0.9867021276595744,0.8956521739130435,1.1016577153480684,1.9468371868133545,1.1972792148590088,2.1160643100738525,6.200782946450792e-08,1,[8]
SLC32A1,0.9547872340425532,0.6652173913043479,1.435301070782923,1.5736995935440063,0.7133031487464905,2.3640975952148438,7.243152055944696e-08,1,[8]
BTBD1,0.8111702127659575,0.26521739130434785,3.058510638297872,0.8972418308258057,0.209711953997612,1.9887968301773071,8.81158845529703e-08,1,[8]
SCG3,0.976063829787234,0.8260869565217391,1.1815509518477043,1.7577189207077026,0.9639919996261597,2.2116236686706543,1.0795893821270323e-07,1,[8]
MTSS1L,0.9601063829787234,0.6478260869565218,1.4820434099671569,1.368388295173645,0.6612489819526672,2.0281810760498047,1.3890635133569593e-07,1,[8]
RAMP1,0.875,0.3739130434782609,2.3401162790697674,1.0791237354278564,0.3362770974636078,2.101910352706909,1.6904799169611265e-07,1,[8]
TTYH1,0.9893617021276596,0.8217391304347826,1.203985140155353,1.8901872634887695,1.0512615442276,2.31387996673584,2.62492166706709e-07,1,[8]
NRSN2,0.8351063829787234,0.3173913043478261,2.631157097056252,0.9712632894515991,0.2650364637374878,2.0263311862945557,3.016929611778453e-07,1,[8]
WASHC2,0.9627659574468085,0.7782608695652173,1.237073576607631,1.7375602722167969,0.8773401379585266,2.3636810779571533,3.3704507672756366e-07,1,[8]
1500009C09RIK,0.8271276595744681,0.3391304347826087,2.4389661756683036,1.0619004964828491,0.28403475880622864,2.17682147026062,4.065008201936739e-07,1,[8]
GABRG2,0.9388297872340425,0.6217391304347826,1.5100059514953132,1.3469465970993042,0.610133945941925,2.0892655849456787,4.358986410478076e-07,1,[8]
NOMO1,0.9095744680851063,0.5391304347826087,1.6871139327385036,1.256537914276123,0.4952878952026367,2.1409506797790527,5.996373087355792e-07,1,[8]
MLC1,0.925531914893617,0.6869565217391305,1.3472932938324804,1.578194260597229,0.7332226037979126,2.327911853790283,6.939763913008833e-07,1,[8]
PRMT8,0.8111702127659575,0.29130434782608694,2.784614163226421,1.014106273651123,0.250199556350708,2.14664626121521,7.136402190675318e-07,1,[8]
